,city,country,first-name,last-name,pronouns,country_3,continent,longitude,latitude,ols-5,ols-2,ols-3,ols-4,ols-1,ols-6,ols-8,ols-7
bebatut,Clermont-Ferrand,France,Bérénice,Batut,she/her,FRA,Europe,3.0819427,45.7774551,organizer,organizer,organizer,organizer,organizer,organizer,organizer,organizer
malvikasharan,London,United Kingdom,Malvika,Sharan,she/her,GBR,Europe,-0.14405508452768728,51.4893335,organizer,organizer,organizer,organizer,organizer,organizer,organizer,organizer
emmyft,,Netherlands,Emmy,Tsang,she/her,NLD,Europe,,,organizer,,organizer,organizer,,organizer,organizer,organizer
pazbc,,Argentina,Paz,Bernaldo,she/her,ARG,South America,,,organizer,,,,,organizer,organizer,organizer
yochannah,,United Kingdom,Yo,Yehudi,they/them,GBR,Europe,,,organizer,organizer,organizer,organizer,organizer,organizer,organizer,organizer
